"id";"imdb_link";"title";"description";"imdb_score";"genre";"imdb_movie_poster"
109758;"http://www.imdb.com/title/tt109758";"Exit to Eden (1994)";"";4.1;"Comedy|Crime|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3OTM4NjQ4Nl5BMl5BanBnXkFtZTcwODY0NjIyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109759;"http://www.imdb.com/title/tt109759";"Exotica (1994)";"";7.2;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg"
109771;"http://www.imdb.com/title/tt109771";"Farinelli (1994)";"";6.9;"Biography|Drama|Music";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMzI3MTQ2NV5BMl5BanBnXkFtZTcwMzQxMTYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109836;"http://www.imdb.com/title/tt109836";"Mary Shelley's Frankenstein (1994)";"";6.4;"Drama|Horror|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMDY3ZjIyOGMtZjI3YS00YTUxLTg4YjAtODhjNWM1Nzk4MDE3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
109906;"http://www.imdb.com/title/tt109906";"The Glass Shield (1994)";"";6.6;"Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDUyMTg2N15BMl5BanBnXkFtZTcwMTQ5OTAzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109950;"http://www.imdb.com/title/tt109950";"Guardian Angel (1994)";"";4.8;"Action|Drama|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1OTA0NDQzN15BMl5BanBnXkFtZTcwMjIwNjQyMQ@@._V1_UY268_CR102,0,182,268_AL_.jpg"
110005;"http://www.imdb.com/title/tt110005";"Heavenly Creatures (1994)";"";7.4;"Biography|Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
110006;"http://www.imdb.com/title/tt110006";"Heavy Weights (1995)";"";6.7;"Comedy|Drama|Family";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MDMyODQwM15BMl5BanBnXkFtZTYwNTY5Mzk5._V1_UY268_CR2,0,182,268_AL_.jpg"
110057;"http://www.imdb.com/title/tt110057";"Hoop Dreams (1994)";"";8.3;"Documentary|Drama|Sport";"https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ1MDA0YWMtMDliZC00N2ZhLWIwZDItNjhjNTMzYTMwMWU4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
110066;"http://www.imdb.com/title/tt110066";"Houseguest (1995)";"";5.9;"Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MDQ1NTY1Ml5BMl5BanBnXkFtZTYwODgxODQ5._V1_UY268_CR2,0,182,268_AL_.jpg"
110099;"http://www.imdb.com/title/tt110099";"I.Q. (1994)";"";6.2;"Comedy|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
110116;"http://www.imdb.com/title/tt110116";"Immortal Beloved (1994)";"";7.5;"Biography|Drama|Music";"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE3NjQ4MTQyNV5BMl5BanBnXkFtZTYwOTU1MDg4._V1_UX182_CR0,0,182,268_AL_.jpg"
110148;"http://www.imdb.com/title/tt110148";"Interview with the Vampire: The Vampire Chronicles (1994)";"";7.6;"Drama|Fantasy|Horror";"https://images-na.ssl-images-amazon.com/images/M/MV5BYThmYjJhMGItNjlmOC00ZDRiLWEzNjUtZjU4MjA3MzY0MzFmXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
110189;"http://www.imdb.com/title/tt110189";"The Jerky Boys (1995)";"";4.6;"Comedy|Crime";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4OTI4OTEyNF5BMl5BanBnXkFtZTcwNDk5NjUyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
110216;"http://www.imdb.com/title/tt110216";"Junior (1994)";"";4.5;"Comedy|Romance|Sci-Fi";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
110296;"http://www.imdb.com/title/tt110296";"Ladybird Ladybird (1994)";"";7.5;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjcyMzY0MF5BMl5BanBnXkFtZTcwMTExNDMzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
110299;"http://www.imdb.com/title/tt110299";"Lamerica (1994)";"";7.6;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
110322;"http://www.imdb.com/title/tt110322";"Legends of the Fall (1994)";"";7.5;"Drama|Romance|War";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
110365;"http://www.imdb.com/title/tt110365";"Little Odessa (1994)";"";6.8;"Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MzUyNzc5OV5BMl5BanBnXkFtZTcwODc4OTUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
110367;"http://www.imdb.com/title/tt110367";"Little Women (1994)";"";7.3;"Drama|Family|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MzkwMDczNV5BMl5BanBnXkFtZTcwNzU1ODYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
110391;"http://www.imdb.com/title/tt110391";"Love Affair (1994)";"";5.9;"Comedy|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MzY0NTE3MF5BMl5BanBnXkFtZTcwOTk1NTAyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
110428;"http://www.imdb.com/title/tt110428";"The Madness of King George (1994)";"";7.2;"Biography|Comedy|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMzk0ODQyNV5BMl5BanBnXkFtZTcwODk0ODE1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
110443;"http://www.imdb.com/title/tt110443";"Major Payne (1995)";"";6.1;"Adventure|Comedy|Family";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTAwODQwMF5BMl5BanBnXkFtZTcwMzE5NjMyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
110604;"http://www.imdb.com/title/tt110604";"Mute Witness (1995)";"";6.8;"Horror|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMjczODAyOV5BMl5BanBnXkFtZTcwNDA5NjQyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
110620;"http://www.imdb.com/title/tt110620";"Nadja (1994)";"";6.0;"Drama|Horror";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTE5MDI4MV5BMl5BanBnXkFtZTcwODM4MDMzMQ@@._V1_UY268_CR43,0,182,268_AL_.jpg"
